Designator,Footprint,Center X,Center Y,Layer,Rotation
"C1","D_0805_2012Metric",261.9827,-170.8444,top,180.0000
"C2","D_0805_2012Metric",267.5919,-170.8444,top,180.0000
"C3","D_0805_2012Metric",256.3736,-170.8444,top,180.0000
"C4","D_0805_2012Metric",250.7644,-170.8444,top,180.0000
"C5","D_0805_2012Metric",267.6100,-112.9600,top,180.0000
"C6","D_0805_2012Metric",262.0000,-112.9600,top,180.0000
"C7","D_0805_2012Metric",256.4000,-112.9600,top,180.0000
"C8","D_0805_2012Metric",250.7900,-112.9600,top,180.0000
"D1","SOT-23",250.7869,-200.5128,top,180.0000
"D2","SOT-23",250.7869,-206.2278,top,180.0000
"D3","SOT-23",256.3961,-211.9428,top,180.0000
"D4","SOT-23",256.3961,-200.5128,top,180.0000
"D5","SOT-23",256.3961,-206.2278,top,180.0000
"D6","SOT-23",262.0052,-211.9428,top,180.0000
"D7","SOT-23",262.0052,-200.5128,top,180.0000
"D8","SOT-23",262.0052,-206.2278,top,180.0000
"D9","SOT-23",267.6144,-211.9428,top,180.0000
"D10","SOT-23",267.6144,-200.5128,top,180.0000
"D11","SOT-23",267.6144,-206.2278,top,180.0000
"D18","LED_0805_2012Metric",267.6000,-106.6400,top,180.0000
"D19","SOT-23",267.6100,-71.8600,top,180.0000
"D20","SOT-23",262.0000,-71.8600,top,180.0000
"D21","SOT-23",267.6100,-83.2900,top,180.0000
"D22","SOT-23",262.0000,-83.2900,top,180.0000
"D23","D_SOD-123",262.0052,-158.2199,top,180.0000
"D24","D_SOD-123",262.0000,-125.5800,top,180.0000
"D25","LED_0805_2012Metric",267.5919,-177.1567,top,180.0000
"D26","LED_0805_2012Metric",261.9827,-177.1567,top,180.0000
"D27","LED_0805_2012Metric",256.3736,-177.1567,top,180.0000
"D28","LED_0805_2012Metric",250.7644,-177.1567,top,180.0000
"D29","SOT-23",256.3900,-83.2900,top,180.0000
"D30","SOT-23",262.0000,-77.5700,top,180.0000
"D31","SOT-23",267.6100,-77.5700,top,180.0000
"D32","SOT-23",256.3900,-77.5700,top,180.0000
"D33","SOT-23",256.3900,-71.8600,top,180.0000
"D34","SOT-23",250.7900,-77.5700,top,180.0000
"D35","SOT-23",250.7900,-83.2900,top,180.0000
"D42","LED_0805_2012Metric",261.9800,-106.6400,top,180.0000
"D43","LED_0805_2012Metric",256.3700,-106.6400,top,180.0000
"D44","LED_0805_2012Metric",250.7600,-106.6400,top,180.0000
"F1","Fuse_1206_3216Metric",256.3961,-158.2199,top,180.0000
"F2","Fuse_1206_3216Metric",256.4000,-125.5800,top,180.0000
"J4","USB_C_Receptacle_XKB_U262-16XN-4BVC11",253.6444,-150.6728,top,0.0000
"J10","USB_C_Receptacle_XKB_U262-16XN-4BVC11",253.6444,-133.1272,top,180.0000
"Q1","SOT-23",256.3961,-166.1102,top,180.0000
"Q2","SOT-23",250.7869,-211.9428,top,180.0000
"Q3","SOT-23",256.4000,-117.6900,top,180.0000
"Q4","SOT-23",250.7900,-71.8600,top,180.0000
"R1","R_0805_2012Metric",250.7869,-161.3408,top,180.0000
"R2","R_0805_2012Metric",262.0052,-216.8344,top,0.0000
"R3","R_0805_2012Metric",267.6144,-174.0006,top,180.0000
"R4","R_0805_2012Metric",256.3961,-161.3408,top,180.0000
"R5","R_0805_2012Metric",262.0052,-161.3408,top,180.0000
"R6","R_0805_2012Metric",267.6144,-161.3408,top,0.0000
"R7","R_0805_2012Metric",267.6144,-158.2199,top,0.0000
"R8","R_0805_2012Metric",262.0052,-174.0006,top,180.0000
"R9","R_0805_2012Metric",262.0052,-153.5462,top,180.0000
"R10","R_0805_2012Metric",262.0052,-155.5496,top,180.0000
"R11","R_0805_2012Metric",256.3961,-174.0006,top,180.0000
"R12","R_0805_2012Metric",250.7869,-174.0006,top,180.0000
"R13","R_0805_2012Metric",267.5800,-109.8000,top,180.0000
"R14","R_0805_2012Metric",267.6100,-122.4600,top,180.0000
"R15","R_0805_2012Metric",256.4000,-122.4600,top,180.0000
"R16","R_0805_2012Metric",250.7900,-122.4600,top,180.0000
"R17","R_0805_2012Metric",262.0000,-66.9700,top,180.0000
"R18","R_0805_2012Metric",261.9600,-109.8000,top,180.0000
"R19","R_0805_2012Metric",256.3500,-109.8000,top,180.0000
"R20","R_0805_2012Metric",250.7400,-109.8000,top,180.0000
"R21","R_0805_2012Metric",261.9800,-122.4600,top,0.0000
"R22","R_0805_2012Metric",267.6100,-125.5800,top,0.0000
"R23","R_0805_2012Metric",262.0010,-130.2512,top,180.0000
"R24","R_0805_2012Metric",262.0000,-128.2500,top,180.0000
"SW50","SW_SPDT_PCM12",240.9444,-148.1760,top,180.0000
"SW51","SW_SPST_EVQPUC02K",229.7176,-148.3280,top,270.0000
"SW52","SW_SPDT_PCM12",240.9444,-135.6360,top,0.0000
"SW53","SW_SPST_EVQPUC02K",229.7176,-135.3900,top,90.0000
"U1","SOT-23-5",250.7869,-166.1102,top,180.0000
"U2","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",264.4394,-166.1102,top,270.0000
"U3","nRF52840_holyiot_18010",262.7884,-188.5468,top,-90.0000
"U4","SOT-23-6",250.7869,-158.2199,top,180.0000
"U5","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias",264.4400,-117.6900,top,270.0000
"U6","SOT-23-5",250.7800,-117.6900,top,180.0000
"U7","SOT-23-6",250.7900,-125.5800,top,180.0000
"U8","nRF52840_holyiot_18010",262.7900,-95.2500,top,-90.0000
